#TYPE Selected.System.ServiceProcess.ServiceController
"Name";"DisplayName"
"AppHostSvc";"Application Host Helper Service"
"Appinfo";"Informations d’application"
"AudioEndpointBuilder";"Générateur de points de terminaison du service Audio Windows"
"Audiosrv";"Audio Windows"
"BDESVC";"Service de chiffrement de lecteur BitLocker"
"BFE";"Moteur de filtrage de base"
"BITS";"Service de transfert intelligent en arrière-plan"
"BluetoothUserService_3517e377";"Service de support des utilisateurs du Bluetooth_3517e377"
"BrokerInfrastructure";"Service d’infrastructure des tâches en arrière-plan"
"BTAGService";"Service de passerelle audio Bluetooth"
"BthAvctpSvc";"Service AVCTP"
"bthserv";"Service de prise en charge Bluetooth"
"camsvc";"Service Gestionnaire d’accès aux fonctionnalités"
"cbdhsvc_3517e377";"Service utilisateur du Presse-papiers_3517e377"
"CDPSvc";"Service de plateforme des appareils connectés"
"CDPUserSvc_3517e377";"Service pour utilisateur de plateforme d’appareils connectés_3517e377"
"CertPropSvc";"Propagation du certificat"
"ClickToRunSvc";"Microsoft Office Click-to-Run Service"
"CoreMessagingRegistrar";"CoreMessaging"
"CryptSvc";"Services de chiffrement"
"DcomLaunch";"Lanceur de processus serveur DCOM"
"Dell SupportAssist Remediation";"Dell SupportAssist Remediation"
"DellClientManagementService";"Dell Client Management Service"
"DellTechHub";"Dell TechHub"
"DeviceAssociationService";"Service d’association de périphérique"
"DevicesFlowUserSvc_3517e377";"Flux d’appareils_3517e377"
"DevQueryBroker";"Service Broker de découverte en arrière-plan DevQuery"
"Dhcp";"Client DHCP"
"DiagTrack";"Expériences des utilisateurs connectés et télémétrie"
"DispBrokerDesktopSvc";"Service de stratégie d'affichage"
"DisplayEnhancementService";"Service d'amélioration de l'affichage"
"Dnscache";"Client DNS"
"DPMService";"Dell Peripheral Manager Service"
"DPS";"Service de stratégie de diagnostic"
"dptftcs";"Intel(R) Dynamic Tuning Technology Telemetry Service"
"DsSvc";"Service de partage des données"
"DusmSvc";"Consommation des données"
"esifsvc";"Intel(R) Dynamic Tuning service"
"EventLog";"Journal d’événements Windows"
"EventSystem";"Système d’événement COM+"
"FileSyncHelper";"FileSyncHelper"
"FontCache";"Service de cache de police Windows"
"hidserv";"Service du périphérique d’interface utilisateur"
"hostcontrolsvc";"Credential Vault Host Control Service"
"hoststoragesvc";"Credential Vault Host Storage"
"HPSIService";"HP SI Service"
"InstallService";"Installation du service Microsoft Store"
"IntelAudioService";"Intel(R) Audio Service"
"IntelGraphicsSoftwareService";"Intel® Graphics Software"
"InventorySvc";"Service d’Appraisal inventaire et compatibilité"
"ipfsvc";"Intel(R) Innovation Platform Framework Service"
"iphlpsvc";"Assistance IP"
"jhi_service";"Intel(R) Dynamic Application Loader Host Interface Service"
"KeyIso";"Isolation de clé CNG"
"LanmanServer";"Serveur"
"LanmanWorkstation";"Station de travail"
"lfsvc";"Service de géolocalisation"
"LicenseManager";"Serveur Gestionnaire de licences Windows"
"lmhosts";"Assistance NetBIOS sur TCP/IP"
"LMS";"Intel(R) Management and Security Application Local Management Service"
"LSM";"Gestionnaire de session locale"
"MDCoreSvc";"Microsoft Defender Service de base"
"mpssvc";"Pare-feu Windows Defender"
"MSDTC";"Coordinateur de transactions distribuées"
"MSSQL$SQLEXPRESS";"SQL Server (SQLEXPRESS)"
"NcbService";"Service Broker pour les connexions réseau"
"Netman";"Connexions réseau"
"netprofm";"Service Liste des réseaux"
"NgcCtnrSvc";"Conteneur Microsoft Passport"
"NgcSvc";"Microsoft Passport"
"NPSMSvc_3517e377";"Lecture en cours du service du Responsable de la session_3517e377"
"nsi";"Service Interface du magasin réseau"
"NVDisplay.ContainerLocalSystem";"NVIDIA Display Container LS"
"NVWMI";"NVWMI"
"OneSyncSvc_3517e377";"Hôte de synchronisation_3517e377"
"PcaSvc";"Service de l’Assistant Compatibilité des programmes"
"PhoneSvc";"Service téléphonique"
"PimIndexMaintenanceSvc_3517e377";"Données de contacts_3517e377"
"PlugPlay";"Plug-and-Play"
"Power";"Alimentation"
"ProfSvc";"Service de profil utilisateur"
"ProIntelliMouseNotificationService";"Pro IntelliMouse Notification Service"
"RasMan";"Gestionnaire des connexions d’accès à distance"
"RmSvc";"Service de gestion radio"
"RpcEptMapper";"Mappeur de point de terminaison RPC"
"RpcSs";"Appel de procédure distante (RPC)"
"RstMwService";"Intel(R) Storage Middleware Service"
"RtkAudioUniversalService";"Realtek Audio Universal Service"
"SamSs";"Gestionnaire de comptes de sécurité"
"SCardSvr";"Carte à puce"
"Schedule";"Planificateur de tâches"
"seclogon";"Ouverture de session secondaire"
"SecurityHealthService";"Service Sécurité Windows"
"SENS";"Service de notification d’événements système"
"SensorService";"Service de capteur"
"SessionEnv";"Configuration des services Bureau à distance"
"ShellHWDetection";"Détection matériel noyau"
"smphost";"SMP de l’Espace de stockages Microsoft"
"Spooler";"Spouleur d’impression"
"SQLTELEMETRY$SQLEXPRESS";"SQL Server CEIP service (SQLEXPRESS)"
"SQLWriter";"Enregistreur VSS SQL Server"
"SSDPSRV";"Découverte SSDP"
"SstpSvc";"Service SSTP (Secure Socket Tunneling Protocol)"
"StateRepository";"Service State Repository (StateRepository)"
"StiSvc";"Acquisition d’image Windows (WIA)"
"StorSvc";"Service de stockage"
"swprv";"Fournisseur de cliché instantané de logiciel Microsoft"
"SysMain";"SysMain"
"SystemEventsBroker";"Service Broker des événements système"
"TapiSrv";"Téléphonie"
"TbtP2pShortcutService";"Thunderbolt(TM) Peer to Peer Shortcut"
"TermService";"Services Bureau à distance"
"TextInputManagementService";"Service de gestion des entrées de texte"
"Themes";"Thèmes"
"TimeBrokerSvc";"Service Broker pour les événements horaires"
"TokenBroker";"Gestionnaire de comptes web"
"TrkWks";"Client de suivi de lien distribué"
